State_y,Income.Median Houseold Income
Alabama,43574.85
Alaska,68491.48
Arizona,48989.93
Arkansas,42236.71
California,67713.6
Colorado,58794.8
Connecticut,79201.38
Delaware,65988.0
District of Columbia,86420.0
Florida,51290.22
Georgia,47229.69
Hawaii,76428.6
Idaho,50921.7
Illinois,56656.29
Indiana,55866.6
Iowa,57259.61
Kansas,52864.69
Kentucky,44882.22
Louisiana,44874.02
Maine,53568.75
Maryland,77541.62
Massachusetts,77745.57
Michigan,51808.35
Minnesota,61656.48
Mississippi,39613.07
Missouri,48096.11
Montana,50983.95
Nebraska,54695.02
Nevada,60119.65
New Hampshire,69308.2
New Jersey,82887.14
New Mexico,43722.97
New York,62484.61
North Carolina,48419.49
North Dakota,62475.4
Ohio,55800.24
Oklahoma,48710.73
Oregon,53953.11
Pennsylvania,57056.09
Rhode Island,76114.4
South Carolina,45608.33
South Dakota,54621.34
Tennessee,47167.0
Texas,52847.59
Utah,63059.59
Vermont,59759.79
Virginia,60756.74
Washington,59393.46
West Virginia,44892.24
Wisconsin,58305.86
Wyoming,61828.65
